video,fps,ids,sightings,Video,Metodologia,FPS,Unique_IDs,Sightings
,,,,GX010067,botsort,30.0,4.0,144.0
,,,,GX010067,bytetrack,30.0,4.0,146.0
,,,,GX010067,botsort,5.0,2.0,16.0
,,,,GX010067,bytetrack,5.0,1.0,8.0
,,,,GX010067,botsort,1.0,0.0,0.0
,,,,GX010067,bytetrack,1.0,0.0,0.0
,,,,GX010069,botsort,30.0,12.0,752.0
,,,,GX010069,bytetrack,30.0,12.0,748.0
,,,,GX010069,botsort,5.0,10.0,73.0
,,,,GX010069,bytetrack,5.0,5.0,48.0
,,,,GX010069,botsort,1.0,0.0,0.0
,,,,GX010069,bytetrack,1.0,0.0,0.0
,,,,GX010076,botsort,30.0,38.0,2053.0
,,,,GX010076,bytetrack,30.0,31.0,2045.0
,,,,GX010076,botsort,5.0,14.0,198.0
,,,,GX010076,bytetrack,5.0,13.0,177.0
,,,,GX010076,botsort,1.0,2.0,2.0
,,,,GX010076,bytetrack,1.0,3.0,3.0
,,,,GX010080,botsort,30.0,3.0,264.0
,,,,GX010080,bytetrack,30.0,3.0,263.0
,,,,GX010080,botsort,5.0,3.0,23.0
,,,,GX010080,bytetrack,5.0,1.0,8.0
,,,,GX010080,botsort,1.0,0.0,0.0
,,,,GX010080,bytetrack,1.0,0.0,0.0
,,,,GX010081,botsort,30.0,4.0,296.0
,,,,GX010081,bytetrack,30.0,4.0,294.0
,,,,GX010081,botsort,5.0,3.0,32.0
,,,,GX010081,bytetrack,5.0,3.0,31.0
,,,,GX010081,botsort,1.0,2.0,2.0
,,,,GX010081,bytetrack,1.0,2.0,2.0
,,,,GX010083,botsort,30.0,57.0,3672.0
,,,,GX010083,bytetrack,30.0,51.0,3642.0
,,,,GX010083,botsort,5.0,40.0,393.0
,,,,GX010083,bytetrack,5.0,21.0,222.0
,,,,GX010083,botsort,1.0,8.0,8.0
,,,,GX010083,bytetrack,1.0,4.0,8.0
,,,,GX010084,botsort,30.0,4.0,286.0
,,,,GX010084,bytetrack,30.0,4.0,284.0
,,,,GX010084,botsort,5.0,3.0,23.0
,,,,GX010084,bytetrack,5.0,2.0,13.0
,,,,GX010084,botsort,1.0,0.0,0.0
,,,,GX010084,bytetrack,1.0,0.0,0.0
,,,,GX010085,botsort,30.0,40.0,1395.0
,,,,GX010085,bytetrack,30.0,23.0,1461.0
,,,,GX010085,botsort,5.0,10.0,119.0
,,,,GX010085,bytetrack,5.0,7.0,96.0
,,,,GX010085,botsort,1.0,1.0,1.0
,,,,GX010085,bytetrack,1.0,0.0,0.0
,,,,GX010086,botsort,30.0,1.0,3403.0
,,,,GX010086,bytetrack,30.0,2.0,3402.0
,,,,GX010086,botsort,5.0,1.0,566.0
,,,,GX010086,bytetrack,5.0,2.0,563.0
,,,,GX010086,botsort,1.0,1.0,111.0
,,,,GX010086,bytetrack,1.0,1.0,111.0
GX010084,30.0,4.0,282.0,,,,,
GX010084,5.0,4.0,48.0,,,,,
GX010084,1.0,4.0,10.0,,,,,
GX010083,30.0,77.0,3694.0,,,,,
GX010083,5.0,66.0,616.0,,,,,
GX010083,1.0,57.0,120.0,,,,,
GX010069,30.0,11.0,773.0,,,,,
GX010069,5.0,12.0,130.0,,,,,
GX010069,1.0,12.0,27.0,,,,,
GX010076,30.0,32.0,2070.0,,,,,
GX010076,5.0,35.0,348.0,,,,,
GX010076,1.0,28.0,72.0,,,,,
GX010086,30.0,1.0,3398.0,,,,,
GX010086,5.0,1.0,567.0,,,,,
GX010086,1.0,1.0,112.0,,,,,
GX010067,30.0,4.0,155.0,,,,,
GX010067,5.0,3.0,24.0,,,,,
GX010067,1.0,2.0,4.0,,,,,
GX010080,30.0,3.0,264.0,,,,,
GX010080,5.0,3.0,43.0,,,,,
GX010080,1.0,7.0,9.0,,,,,
GX010081,30.0,4.0,294.0,,,,,
GX010081,5.0,4.0,49.0,,,,,
GX010081,1.0,5.0,12.0,,,,,
GX010085,30.0,30.0,1467.0,,,,,
GX010085,5.0,27.0,243.0,,,,,
GX010085,1.0,23.0,46.0,,,,,
