Iniciando Autotuner de Pesos...
Params: {'th_short': 8, 'th_global': 12, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 97.0
Params: {'th_short': 8, 'th_global': 12, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 12, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 12, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 12, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 12, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 92.0
Params: {'th_short': 8, 'th_global': 18, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 98.0
Params: {'th_short': 8, 'th_global': 18, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 98.0
Params: {'th_short': 8, 'th_global': 18, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 102.0
Params: {'th_short': 8, 'th_global': 18, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 101.0
Params: {'th_short': 8, 'th_global': 24, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 24, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 96.0
Params: {'th_short': 8, 'th_global': 24, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 98.0
Params: {'th_short': 8, 'th_global': 24, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 98.0
Params: {'th_short': 8, 'th_global': 24, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 102.0
Params: {'th_short': 8, 'th_global': 24, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 102.0
Params: {'th_short': 12, 'th_global': 12, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 152.0
Params: {'th_short': 12, 'th_global': 12, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 153.0
Params: {'th_short': 12, 'th_global': 12, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 155.0
Params: {'th_short': 12, 'th_global': 12, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 155.0
Params: {'th_short': 12, 'th_global': 12, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 149.0
Params: {'th_short': 12, 'th_global': 12, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 149.0
Params: {'th_short': 12, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 167.0
Params: {'th_short': 12, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 165.0
Params: {'th_short': 12, 'th_global': 18, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 171.0
Params: {'th_short': 12, 'th_global': 18, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 170.0
Params: {'th_short': 12, 'th_global': 18, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 174.0
Params: {'th_short': 12, 'th_global': 18, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 173.0
Params: {'th_short': 12, 'th_global': 24, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 168.0
Params: {'th_short': 12, 'th_global': 24, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 168.0
Params: {'th_short': 12, 'th_global': 24, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 172.0
Params: {'th_short': 12, 'th_global': 24, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 172.0
Params: {'th_short': 12, 'th_global': 24, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 176.0
Params: {'th_short': 12, 'th_global': 24, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 174.0
Params: {'th_short': 16, 'th_global': 12, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 173.0
Params: {'th_short': 16, 'th_global': 12, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 170.0
Params: {'th_short': 16, 'th_global': 12, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 166.0
Params: {'th_short': 16, 'th_global': 12, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 168.0
Params: {'th_short': 16, 'th_global': 12, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 170.0
Params: {'th_short': 16, 'th_global': 12, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 174.0
Params: {'th_short': 16, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 220.0
Params: {'th_short': 16, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 216.0
Params: {'th_short': 16, 'th_global': 18, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 220.0
Params: {'th_short': 16, 'th_global': 18, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 220.0
Params: {'th_short': 16, 'th_global': 18, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 222.0
Params: {'th_short': 16, 'th_global': 18, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 222.0
Params: {'th_short': 16, 'th_global': 24, 'accept_th': 0.95, 'motion_weight': 0.3} -> Loss: 225.0
Params: {'th_short': 16, 'th_global': 24, 'accept_th': 0.95, 'motion_weight': 0.5} -> Loss: 223.0
Params: {'th_short': 16, 'th_global': 24, 'accept_th': 1.2, 'motion_weight': 0.3} -> Loss: 225.0
Params: {'th_short': 16, 'th_global': 24, 'accept_th': 1.2, 'motion_weight': 0.5} -> Loss: 225.0
Params: {'th_short': 16, 'th_global': 24, 'accept_th': 1.5, 'motion_weight': 0.3} -> Loss: 227.0
Params: {'th_short': 16, 'th_global': 24, 'accept_th': 1.5, 'motion_weight': 0.5} -> Loss: 225.0

Melhor Configuração Final: {'th_short': 8, 'th_global': 18, 'accept_th': 0.95, 'motion_weight': 0.5} com Loss: 92.0
