Video,Metodologia,FPS,Unique_IDs,Sightings
GX010084,botsort,30fps,4,286
GX010084,botsort,5fps,3,23
GX010084,botsort,1fps,0,0
GX010084,bytetrack,30fps,4,284
GX010084,bytetrack,5fps,2,13
GX010084,bytetrack,1fps,0,0
GX010083,botsort,30fps,57,3672
GX010083,botsort,5fps,40,393
GX010083,botsort,1fps,8,8
GX010083,bytetrack,30fps,51,3642
GX010083,bytetrack,5fps,21,222
GX010083,bytetrack,1fps,4,8
GX010069,botsort,30fps,12,752
GX010069,botsort,5fps,10,73
GX010069,botsort,1fps,0,0
GX010069,bytetrack,30fps,12,748
GX010069,bytetrack,5fps,5,48
GX010069,bytetrack,1fps,0,0
GX010076,botsort,30fps,38,2053
GX010076,botsort,5fps,14,198
GX010076,botsort,1fps,2,2
GX010076,bytetrack,30fps,31,2045
GX010076,bytetrack,5fps,13,177
GX010076,bytetrack,1fps,3,3
GX010086,botsort,30fps,1,3403
GX010086,botsort,5fps,1,566
GX010086,botsort,1fps,1,111
GX010086,bytetrack,30fps,2,3402
GX010086,bytetrack,5fps,2,563
GX010086,bytetrack,1fps,1,111
GX010067,botsort,30fps,4,144
GX010067,botsort,5fps,2,16
GX010067,botsort,1fps,0,0
GX010067,bytetrack,30fps,4,146
GX010067,bytetrack,5fps,1,8
GX010067,bytetrack,1fps,0,0
GX010080,botsort,30fps,3,264
GX010080,botsort,5fps,3,23
GX010080,botsort,1fps,0,0
GX010080,bytetrack,30fps,3,263
GX010080,bytetrack,5fps,1,8
GX010080,bytetrack,1fps,0,0
GX010081,botsort,30fps,4,296
GX010081,botsort,5fps,3,32
GX010081,botsort,1fps,2,2
GX010081,bytetrack,30fps,4,294
GX010081,bytetrack,5fps,3,31
GX010081,bytetrack,1fps,2,2
GX010085,botsort,30fps,40,1395
GX010085,botsort,5fps,10,119
GX010085,botsort,1fps,1,1
GX010085,bytetrack,30fps,23,1461
GX010085,bytetrack,5fps,7,96
GX010085,bytetrack,1fps,0,0
